Level,Package,Installed Version,Installed Version Date,Latest Version,Latest Version Date,Description,License
Level 0,@ant-design/icons,^5.6.1,Неизвестно,5.6.1,2025-02-07T09:13:36.334Z,"[![NPM version](https://img.shields.io/npm/v/@ant-design/icons.svg?style=flat)](https://npmjs.org/package/@ant-design/icons) [![NPM downloads](http://img.shields.io/npm/dm/@ant-design/icons.svg?style=flat)](https://npmjs.org/package/@ant-design/icons)",MIT
Level 1,@ant-design/colors,Не установлено,Неизвестно,7.2.0,2024-12-31T15:03:29.773Z,"Color palettes calculator of Ant Design",MIT
Level 2,@ant-design/fast-color,Не установлено,Неизвестно,2.0.6,2024-08-06T14:02:23.806Z,"fast and small color class",MIT
Level 1,@ant-design/icons-svg,Не установлено,Неизвестно,4.4.2,2024-02-01T06:43:00.450Z,"Abstract nodes for ant design icons.",MIT
Level 1,@babel/runtime,Не установлено,Неизвестно,7.26.9,2025-02-14T11:47:59.905Z,"babel's modular runtime helpers",MIT
Level 2,regenerator-runtime,Не установлено,Неизвестно,0.14.1,2023-12-15T20:52:02.938Z,"Runtime for Regenerator-compiled generator and async functions.",MIT
Level 1,classnames,Не установлено,Неизвестно,2.5.1,2023-12-29T15:55:16.013Z,"A simple utility for conditionally joining classNames together",MIT
Level 1,rc-util,Не установлено,Неизвестно,5.44.4,2025-02-08T07:29:39.695Z,"Common Utils For React Component",MIT
Level 2,@babel/runtime,Не установлено,Неизвестно,7.26.9,2025-02-14T11:47:59.905Z,"babel's modular runtime helpers",MIT
Level 2,react-is,Не установлено,Неизвестно,19.0.0,2024-12-05T18:10:41.382Z,"Brand checking of React Elements.",MIT
Level 0,@reduxjs/toolkit,^2.5.1,Неизвестно,2.5.1,2025-01-26T19:33:36.666Z,"The official, opinionated, batteries-included toolset for efficient Redux development",MIT
Level 1,immer,Не установлено,Неизвестно,10.1.1,2024-04-27T20:07:26.218Z,"Create your next immutable state by mutating the current one",MIT
Level 1,redux,Не установлено,Неизвестно,5.0.1,2023-12-23T16:47:28.099Z,"Predictable state container for JavaScript apps",MIT
Level 1,redux-thunk,Не установлено,Неизвестно,3.1.0,2023-12-04T13:50:37.326Z,"Thunk middleware for Redux.",MIT
Level 1,reselect,Не установлено,Неизвестно,5.1.1,2024-06-01T22:16:06.224Z,"Selectors for Redux.",MIT
Level 0,antd,^5.24.0,Неизвестно,5.24.1,2025-02-17T09:46:46.422Z,"An enterprise-class UI design language and React components implementation",MIT
Level 1,dayjs,Не установлено,Неизвестно,1.11.13,2024-08-20T14:59:52.917Z,"2KB immutable date time library alternative to Moment.js with the same modern API ",MIT
Level 1,rc-menu,Не установлено,Неизвестно,9.16.1,2025-02-18T02:48:17.857Z,"menu ui component for react",MIT
Level 2,@babel/runtime,Не установлено,Неизвестно,7.26.9,2025-02-14T11:47:59.905Z,"babel's modular runtime helpers",MIT
Level 2,@rc-component/trigger,Не установлено,Неизвестно,3.0.0,2025-02-18T08:39:04.880Z,"base abstract trigger component for react",MIT
Level 2,classnames,Не установлено,Неизвестно,2.5.1,2023-12-29T15:55:16.013Z,"A simple utility for conditionally joining classNames together",MIT
Level 2,rc-motion,Не установлено,Неизвестно,2.9.5,2024-12-19T11:11:02.465Z,"React lifecycle controlled motion library",MIT
Level 2,rc-overflow,Не установлено,Неизвестно,1.4.1,2025-01-08T08:53:06.977Z,"Auto collapse box when overflow",MIT
Level 2,rc-util,Не установлено,Неизвестно,5.44.4,2025-02-08T07:29:39.695Z,"Common Utils For React Component",MIT
Level 1,rc-rate,Не установлено,Неизвестно,2.13.1,2025-02-10T03:17:05.267Z,"React Star Rate Component",MIT
Level 2,@babel/runtime,Не установлено,Неизвестно,7.26.9,2025-02-14T11:47:59.905Z,"babel's modular runtime helpers",MIT
Level 2,classnames,Не установлено,Неизвестно,2.5.1,2023-12-29T15:55:16.013Z,"A simple utility for conditionally joining classNames together",MIT
Level 2,rc-util,Не установлено,Неизвестно,5.44.4,2025-02-08T07:29:39.695Z,"Common Utils For React Component",MIT
Level 1,rc-tabs,Не установлено,Неизвестно,15.5.1,2025-02-07T02:43:38.195Z,"tabs ui component for react",MIT
Level 2,@babel/runtime,Не установлено,Неизвестно,7.26.9,2025-02-14T11:47:59.905Z,"babel's modular runtime helpers",MIT
Level 2,classnames,Не установлено,Неизвестно,2.5.1,2023-12-29T15:55:16.013Z,"A simple utility for conditionally joining classNames together",MIT
Level 2,rc-dropdown,Не установлено,Неизвестно,4.2.1,2024-12-11T07:28:23.920Z,"dropdown ui component for react",MIT
Level 2,rc-menu,Не установлено,Неизвестно,9.16.1,2025-02-18T02:48:17.857Z,"menu ui component for react",MIT
Level 2,rc-motion,Не установлено,Неизвестно,2.9.5,2024-12-19T11:11:02.465Z,"React lifecycle controlled motion library",MIT
Level 2,rc-resize-observer,Не установлено,Неизвестно,1.4.3,2024-12-19T04:40:06.280Z,"Resize observer for React",MIT
Level 2,rc-util,Не установлено,Неизвестно,5.44.4,2025-02-08T07:29:39.695Z,"Common Utils For React Component",MIT
Level 1,rc-tree,Не установлено,Неизвестно,5.13.0,2025-01-07T03:23:39.483Z,"tree ui component for react",MIT
Level 2,@babel/runtime,Не установлено,Неизвестно,7.26.9,2025-02-14T11:47:59.905Z,"babel's modular runtime helpers",MIT
Level 2,classnames,Не установлено,Неизвестно,2.5.1,2023-12-29T15:55:16.013Z,"A simple utility for conditionally joining classNames together",MIT
Level 2,rc-motion,Не установлено,Неизвестно,2.9.5,2024-12-19T11:11:02.465Z,"React lifecycle controlled motion library",MIT
Level 2,rc-util,Не установлено,Неизвестно,5.44.4,2025-02-08T07:29:39.695Z,"Common Utils For React Component",MIT
Level 2,rc-virtual-list,Не установлено,Неизвестно,3.18.2,2025-02-14T08:30:52.266Z,"React Virtual List Component",MIT
Level 1,rc-util,Не установлено,Неизвестно,5.44.4,2025-02-08T07:29:39.695Z,"Common Utils For React Component",MIT
Level 2,@babel/runtime,Не установлено,Неизвестно,7.26.9,2025-02-14T11:47:59.905Z,"babel's modular runtime helpers",MIT
Level 2,react-is,Не установлено,Неизвестно,19.0.0,2024-12-05T18:10:41.382Z,"Brand checking of React Elements.",MIT
Level 1,rc-image,Не установлено,Неизвестно,7.11.0,2024-09-09T14:54:14.578Z,"React easy to use image component",MIT
Level 2,@babel/runtime,Не установлено,Неизвестно,7.26.9,2025-02-14T11:47:59.905Z,"babel's modular runtime helpers",MIT
Level 2,@rc-component/portal,Не установлено,Неизвестно,1.1.2,2023-07-19T11:06:39.266Z,"React Portal Component",MIT
Level 2,classnames,Не установлено,Неизвестно,2.5.1,2023-12-29T15:55:16.013Z,"A simple utility for conditionally joining classNames together",MIT
Level 2,rc-dialog,Не установлено,Неизвестно,10.0.0,2025-01-09T06:33:11.084Z,"dialog ui component for react",MIT
Level 2,rc-motion,Не установлено,Неизвестно,2.9.5,2024-12-19T11:11:02.465Z,"React lifecycle controlled motion library",MIT
