  node_modules/@adobe/css-tools; 4.4.2; https://registry.npmjs.org/@adobe/css-tools/-/css-tools-4.4.2.tgz; Неизвестно; MIT; None
  node_modules/@ampproject/remapping; 2.3.0; https://registry.npmjs.org/@ampproject/remapping/-/remapping-2.3.0.tgz; Неизвестно; Apache-2.0; None
  node_modules/@ant-design/colors; 7.2.0; https://registry.npmjs.org/@ant-design/colors/-/colors-7.2.0.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/cssinjs; 1.23.0; https://registry.npmjs.org/@ant-design/cssinjs/-/cssinjs-1.23.0.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/cssinjs-utils; 1.1.3; https://registry.npmjs.org/@ant-design/cssinjs-utils/-/cssinjs-utils-1.1.3.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/cssinjs/node_modules/@emotion/hash; 0.8.0; https://registry.npmjs.org/@emotion/hash/-/hash-0.8.0.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/cssinjs/node_modules/@emotion/unitless; 0.7.5; https://registry.npmjs.org/@emotion/unitless/-/unitless-0.7.5.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/cssinjs/node_modules/stylis; 4.3.6; https://registry.npmjs.org/stylis/-/stylis-4.3.6.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/fast-color; 2.0.6; https://registry.npmjs.org/@ant-design/fast-color/-/fast-color-2.0.6.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/icons; 5.6.1; https://registry.npmjs.org/@ant-design/icons/-/icons-5.6.1.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/icons-svg; 4.4.2; https://registry.npmjs.org/@ant-design/icons-svg/-/icons-svg-4.4.2.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/react-slick; 1.1.2; https://registry.npmjs.org/@ant-design/react-slick/-/react-slick-1.1.2.tgz; Неизвестно; MIT; None
  node_modules/@ant-design/v5-patch-for-react-19; 1.0.3; https://registry.npmjs.org/@ant-design/v5-patch-for-react-19/-/v5-patch-for-react-19-1.0.3.tgz; Неизвестно; MIT; None
  node_modules/@babel/code-frame; 7.26.2; https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.26.2.tgz; Неизвестно; MIT; None
  node_modules/@babel/compat-data; 7.26.8; https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.26.8.tgz; Неизвестно; MIT; None
  node_modules/@babel/core; 7.26.9; https://registry.npmjs.org/@babel/core/-/core-7.26.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/core/node_modules/convert-source-map; 2.0.0; https://registry.npmjs.org/convert-source-map/-/convert-source-map-2.0.0.tgz; Неизвестно; MIT; None
  node_modules/@babel/core/node_modules/semver; 6.3.1; https://registry.npmjs.org/semver/-/semver-6.3.1.tgz; Неизвестно; ISC; None
  node_modules/@babel/generator; 7.26.9; https://registry.npmjs.org/@babel/generator/-/generator-7.26.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/helper-compilation-targets; 7.26.5; https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.26.5.tgz; Неизвестно; MIT; None
  node_modules/@babel/helper-compilation-targets/node_modules/semver; 6.3.1; https://registry.npmjs.org/semver/-/semver-6.3.1.tgz; Неизвестно; ISC; None
  node_modules/@babel/helper-module-imports; 7.25.9; https://registry.npmjs.org/@babel/helper-module-imports/-/helper-module-imports-7.25.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/helper-module-transforms; 7.26.0; https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.26.0.tgz; Неизвестно; MIT; None
  node_modules/@babel/helper-plugin-utils; 7.26.5; https://registry.npmjs.org/@babel/helper-plugin-utils/-/helper-plugin-utils-7.26.5.tgz; Неизвестно; MIT; None
  node_modules/@babel/helper-string-parser; 7.25.9; https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.25.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/helper-validator-identifier; 7.25.9; https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.25.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/helper-validator-option; 7.25.9; https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.25.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/helpers; 7.26.9; https://registry.npmjs.org/@babel/helpers/-/helpers-7.26.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/parser; 7.26.9; https://registry.npmjs.org/@babel/parser/-/parser-7.26.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-async-generators; 7.8.4; https://registry.npmjs.org/@babel/plugin-syntax-async-generators/-/plugin-syntax-async-generators-7.8.4.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-bigint; 7.8.3; https://registry.npmjs.org/@babel/plugin-syntax-bigint/-/plugin-syntax-bigint-7.8.3.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-class-properties; 7.12.13; https://registry.npmjs.org/@babel/plugin-syntax-class-properties/-/plugin-syntax-class-properties-7.12.13.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-class-static-block; 7.14.5; https://registry.npmjs.org/@babel/plugin-syntax-class-static-block/-/plugin-syntax-class-static-block-7.14.5.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-import-attributes; 7.26.0; https://registry.npmjs.org/@babel/plugin-syntax-import-attributes/-/plugin-syntax-import-attributes-7.26.0.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-import-meta; 7.10.4; https://registry.npmjs.org/@babel/plugin-syntax-import-meta/-/plugin-syntax-import-meta-7.10.4.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-json-strings; 7.8.3; https://registry.npmjs.org/@babel/plugin-syntax-json-strings/-/plugin-syntax-json-strings-7.8.3.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-jsx; 7.25.9; https://registry.npmjs.org/@babel/plugin-syntax-jsx/-/plugin-syntax-jsx-7.25.9.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-logical-assignment-operators; 7.10.4; https://registry.npmjs.org/@babel/plugin-syntax-logical-assignment-operators/-/plugin-syntax-logical-assignment-operators-7.10.4.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-nullish-coalescing-operator; 7.8.3; https://registry.npmjs.org/@babel/plugin-syntax-nullish-coalescing-operator/-/plugin-syntax-nullish-coalescing-operator-7.8.3.tgz; Неизвестно; MIT; None
  node_modules/@babel/plugin-syntax-numeric-separator; 7.10.4; https://registry.npmjs.org/@babel/plugin-syntax-numeric-separator/-/plugin-syntax-numeric-separator-7.10.4.tgz; Неизвестно; MIT; None
